19340 8935 10.0 1 1
7664 18575 10.0 1 1
16311 9053 10.0 1 1
12116 5246 10.0 1 1
13737 14865 10.0 1 1
13450 22817 10.0 1 1
9647 20618 10.0 1 1
5823 7445 10.0 1 1
14305 18661 10.0 1 1
20846 9470 10.0 1 1
24727 8317 20.0 1 1
1618 27896 20.0 1 1
29415 8388 20.0 1 1
1268 28465 20.0 1 1
1432 6061 20.0 1 1
17064 16964 20.0 1 1
22331 11409 20.0 1 1
5432 24243 20.0 1 1
9601 3827 20.0 1 1
11467 28540 20.0 1 1
27416 21865 30.0 1 1
18095 5267 30.0 1 1
28173 20783 30.0 1 1
28813 2785 30.0 1 1
3114 16692 30.0 1 1
20979 3075 30.0 1 1
14812 1311 30.0 1 1
18591 11781 30.0 1 1
29320 20731 30.0 1 1
14605 21809 30.0 1 1
21301 20071 40.0 1 1
24324 17747 40.0 1 1
3932 26370 40.0 1 1
25446 16130 40.0 1 1
23017 2935 40.0 1 1
28326 4239 40.0 1 1
481 28868 40.0 1 1
13073 23943 40.0 1 1
6393 203 40.0 1 1
22546 28374 40.0 1 1
653 19663 50.0 1 1
4145 27320 50.0 1 1
27157 4578 50.0 1 1
25149 17659 50.0 1 1
5890 15113 50.0 1 1
10693 5215 50.0 1 1
26563 1886 50.0 1 1
1723 19936 50.0 1 1
7177 958 50.0 1 1
26306 7145 50.0 1 1
12146 15463 60.0 1 1
19209 18071 60.0 1 1
19813 8489 60.0 1 1
27993 25294 60.0 1 1
23017 26841 60.0 1 1
18725 21696 60.0 1 1
10872 27796 60.0 1 1
1600 1770 60.0 1 1
26426 1505 60.0 1 1
12002 3717 60.0 1 1
25456 3663 70.0 1 1
9483 15934 70.0 1 1
25049 27394 70.0 1 1
12206 5474 70.0 1 1
4963 29744 70.0 1 1
24603 26397 70.0 1 1
21620 9689 70.0 1 1
808 5740 70.0 1 1
28203 14906 70.0 1 1
9010 9432 70.0 1 1
1119 910 80.0 1 1
14074 2779 80.0 1 1
2694 17671 80.0 1 1
10198 19021 80.0 1 1
26724 28990 80.0 1 1
20379 447 80.0 1 1
14537 21995 80.0 1 1
23697 18986 80.0 1 1
27632 15051 80.0 1 1
28517 3628 80.0 1 1
12274 25738 90.0 1 1
209 21072 90.0 1 1
29348 17058 90.0 1 1
6571 29432 90.0 1 1
18703 2711 90.0 1 1
3654 21812 90.0 1 1
26814 14659 90.0 1 1
9857 8415 90.0 1 1
3207 26560 90.0 1 1
19957 24232 90.0 1 1
25650 13184 100.0 1 1
7550 19249 100.0 1 1
7601 18931 100.0 1 1
4093 254 100.0 1 1
10198 6650 100.0 1 1
24841 6507 100.0 1 1
18010 6608 100.0 1 1
24774 22234 100.0 1 1
28586 28246 100.0 1 1
5204 7993 100.0 1 1
